Reference,Final_Value,Footprint,Quantity,Additional_Info
"C1, C5, C7, C17, C20, C22, C29, C31, C33, C51",220uF/50V,CAP-P-1W,10,
"C2, C4, C6, C11, C12, C14, C16, C18, C19, C21, C23, C26, C27, C28, C30, C32, C34, C35, C36, C39, C40, C41, C43, C44, C46, C52, C54, C57, C58, C61, C63, C64",104,C-1206,32,
"C3, C42, C47, C53, C62",106,C-1206,5,
"C8, C9, C15, C24, C25, C37, C38, C55, C56",1000uF/16V,CAP-P-2,9,
"C10, C13",104,CAP-NP-1,2,
"C45, C50",101,C-1206,2,
"C48, C49, C59, C60, C65, C66",22pF,C-1206,6,
C67,4n7,C-1206,1,
D1,M1,L-1206,1,
"D2, D5, D14, D17, D22",SS24,SMB,5,
"D3, D4, D25, D26",TX RX,L-1206,4,"D3: TX, D4: RX, D25: RX, D26: TX"
D6,POWER,L-1206,1,
D7,SMAJ24V,SMA,1,
"D8, D9, D15, D18, D24",SS34,SMA,5,
"D10, D20, D23",SMAJ5V,SMA,3,
D11,20V,ZDiode-3,1,
D12,PSM712,SOT23,1,
D13,M2,L-1206,1,
D16,M3,L-1206,1,
"D19, D27, D28",M7,SMA,3,
D21,M4,L-1206,1,
F1,Fuse,FUSE,1,F1: 1A
"H1, H2",H_1X6,Header-01X06,2,
"H3, H4",LORA,Header-01X07,2,
J1,DWIN,STD-04-3.55MM,1,J1: H4
J2,ON/OFF,PLG-02-B,1,J2: H2
J3,MOTOR1,PLG-03-B,1,J3: H3
J4,PWR 24V,PLG-02-B,1,J4: H2
J5,S1,STD-04-3.55MM,1,J5: H4
J6,S2,STD-04-3.55MM,1,J6: H4
J7,MOTOR2,PLG-03-B,1,J7: H3
J8,S3,STD-04-3.55MM,1,J8: H4
J9,S4,STD-04-3.55MM,1,J9: H4
J10,MOTOR3,PLG-03-B,1,J10: H3
J11,MOTOR4,PLG-03-B,1,J11: H3
J12,USB type B,USB-Type-B,1,J12: *
"L1, L2, L3, L4, L5",100uH,L_9X12,5,
LS1,Buzzer,Buzzer,1,LS1: BUZ
"M1, M2",Atmega128-SMD,Quad64,2,
M3,CH340,SOIC-16,1,
"Q1, Q2",NPN,SOT23,2,"Q1: 546, Q2: 546"
"R1, R2, R3, R8, R15, R17, R18, R22, R36, R41, R42",1K,R-1206,11,
"R4, R7, R9, R16, R20, R21, R23, R24, R28, R29, R30, R31, R33, R37, R40",10K,R-1206,15,
"R5, R19, R27, R39",62K,R-1206,4,
"R6, R14",4K7,R-1206,2,
"R10, R12",47,R-1206,2,
"R11, R13",JZ,R-1206,2,
"R25, R26, R32, R34",100,R-1206,4,
"R35, R38, R43",1M,R-1206,3,
SW1,SW-DIP01,SW-DIP-01,1,SW1: PRG
SW2,SET,SW-SPST-4-B,1,SW2: M3
SW3,UP,SW-SPST-4-B,1,SW3: M1
SW4,DOWN,SW-SPST-4-B,1,SW4: M2
SW5,ENTER,SW-SPST-4-B,1,SW5: M4
"SW6, SW7",RESET,SW-SPST-4,2,
T1,CM Trans,CM_UU9.8,1,T1: *
U1,MAX487,SOIC_8,1,
"VR1, VR3, VR4, VR5",LM2576-ADJ,TO263_5,4,"VR1: *, VR3: *, VR4: *, VR5: *"
VR2,LM2576-5V,TO263_5,1,VR2: *
"Y1, Y2",Crystal 16 MHz,Crystal 16MHz DIP Code = ABL-16.000MHZ-B2,2,Crystal 16MHz DIP Code = ABL-16.000MHZ-B2
Y3,Crystal 12 MHz,Crystal 12MHz DIP Code = 3155-12M20P2/49US-ND,1,Crystal 12MHz DIP Code = 3155-12M20P2/49US-ND
